DateTime,SpCond_mS_cm
2020-04-28T13:45:00Z,24.62
2020-04-28T14:00:00Z,24.6
2020-04-28T14:15:00Z,24.63
2020-04-28T14:30:00Z,24.6
2020-04-28T14:45:00Z,24.57
2020-04-28T15:00:00Z,24.64
2020-04-28T15:15:00Z,24.65
2020-04-28T15:30:00Z,24.67
2020-04-28T15:45:00Z,24.69
2020-04-28T16:00:00Z,24.67
2020-04-28T16:15:00Z,24.69
2020-04-28T16:30:00Z,24.66
2020-04-28T16:45:00Z,24.63
2020-04-28T17:00:00Z,24.66
2020-04-28T17:15:00Z,24.73
2020-04-28T17:30:00Z,24.72
2020-04-28T17:45:00Z,24.73
2020-04-28T18:00:00Z,24.75
2020-04-28T18:15:00Z,24.78
2020-04-28T18:30:00Z,24.81
2020-04-28T18:45:00Z,24.84
2020-04-28T19:00:00Z,24.88
2020-04-28T19:15:00Z,24.93
2020-04-28T19:30:00Z,24.99
2020-04-28T19:45:00Z,25
2020-04-28T20:00:00Z,25.05
2020-04-28T20:15:00Z,25.03
2020-04-28T20:30:00Z,25.02
2020-04-28T20:45:00Z,25.01
2020-04-28T21:00:00Z,26.54
2020-04-28T21:15:00Z,25.09
2020-04-28T21:30:00Z,25.05
2020-04-28T21:45:00Z,25.04
2020-04-28T22:00:00Z,25.05
2020-04-28T22:15:00Z,25.02
2020-04-28T22:30:00Z,25
2020-04-28T22:45:00Z,25
2020-04-28T23:00:00Z,24.99
2020-04-28T23:15:00Z,24.99
2020-04-28T23:30:00Z,24.99
2020-04-28T23:45:00Z,24.96
2020-04-29T00:00:00Z,24.95
2020-04-29T00:15:00Z,24.95
2020-04-29T00:30:00Z,24.95
2020-04-29T00:45:00Z,24.97
2020-04-29T01:00:00Z,24.95
2020-04-29T01:15:00Z,24.96
2020-04-29T01:30:00Z,24.95
2020-04-29T01:45:00Z,24.95
2020-04-29T02:00:00Z,24.88
2020-04-29T02:15:00Z,24.93
2020-04-29T02:30:00Z,24.99
2020-04-29T02:45:00Z,24.94
2020-04-29T03:00:00Z,24.94
2020-04-29T03:15:00Z,24.95
2020-04-29T03:30:00Z,24.96
2020-04-29T03:45:00Z,24.97
2020-04-29T04:00:00Z,24.97
2020-04-29T04:15:00Z,24.95
2020-04-29T04:30:00Z,24.93
2020-04-29T04:45:00Z,24.94
2020-04-29T05:00:00Z,24.91
2020-04-29T05:15:00Z,24.97
2020-04-29T05:30:00Z,24.97
2020-04-29T05:45:00Z,24.95
2020-04-29T06:00:00Z,24.94
2020-04-29T06:15:00Z,25.13
2020-04-29T06:30:00Z,25.18
2020-04-29T06:45:00Z,25.18
2020-04-29T07:00:00Z,25.19
2020-04-29T07:15:00Z,25.2
2020-04-29T07:30:00Z,25.18
2020-04-29T07:45:00Z,25.19
2020-04-29T08:00:00Z,25.03
2020-04-29T08:15:00Z,25.03
2020-04-29T08:30:00Z,25.06
2020-04-29T08:45:00Z,25.07
2020-04-29T09:00:00Z,25.07
2020-04-29T09:15:00Z,25.06
2020-04-29T09:30:00Z,25.05
2020-04-29T09:45:00Z,25.04
2020-04-29T10:00:00Z,25.03
2020-04-29T10:15:00Z,25.03
2020-04-29T10:30:00Z,25.21
2020-04-29T10:45:00Z,25.67
2020-04-29T11:00:00Z,24.85
2020-04-29T11:15:00Z,24.84
2020-04-29T11:30:00Z,24.88
2020-04-29T11:45:00Z,24.87
2020-04-29T12:00:00Z,24.87
2020-04-29T12:15:00Z,24.75
2020-04-29T12:30:00Z,24.7
2020-04-29T12:45:00Z,24.68
2020-04-29T13:00:00Z,24.66
2020-04-29T13:15:00Z,24.68
2020-04-29T13:30:00Z,24.66
2020-04-29T13:45:00Z,24.69
2020-04-29T14:00:00Z,24.7
2020-04-29T14:15:00Z,24.68
2020-04-29T14:30:00Z,24.73
2020-04-29T14:45:00Z,24.74
2020-04-29T15:00:00Z,24.81
2020-04-29T15:15:00Z,24.85
2020-04-29T15:30:00Z,24.88
2020-04-29T15:45:00Z,24.88
2020-04-29T16:00:00Z,24.93
2020-04-29T16:15:00Z,24.96
2020-04-29T16:30:00Z,25.01
2020-04-29T16:45:00Z,25.05
2020-04-29T17:00:00Z,25.07
2020-04-29T17:15:00Z,25.07
2020-04-29T17:30:00Z,25.1
2020-04-29T17:45:00Z,25.1
2020-04-29T18:00:00Z,25.13
